z_km, T_degC
0, 23.692642019335608
4.29517361788278, 98.5763240743322
7.72527605196928, 158.81648232245857
13.502210033868897, 241.45257667326769
19.522296551313975, 309.50424114596126
25.94273728869221, 378.62984084602226
34.64913919640154, 447.64347510100583
39.0595669332958, 482.420875387435
44.8991869243348, 518.7685910410751
164.03827361864433, 1258.1837251056213
173.03026516508243, 1326.636599089842
177.61074042168804, 1356.484720656737
182.0175914846423, 1378.6865353702178
186.36558293514963, 1394.8767387284158
191.7970733281251, 1402.8122896482796
196.8848920077379, 1408.0308124342641
200.54274089539285, 1408.9451969023964
