"Points:0","Points:1","Points:2"
5e+05,0,-0.1
5e+05,0,0
5e+05,20000,-0.1
5e+05,20000,0
5e+05,40000,-0.1
5e+05,40000,0
5e+05,60000,-0.1
5e+05,60000,0
5e+05,80000,-0.1
5e+05,80000,0
5e+05,1e+05,-0.1
5e+05,1e+05,0
5e+05,1.2e+05,-0.1
5e+05,1.2e+05,0
5e+05,1.4e+05,-0.1
5e+05,1.4e+05,0
5e+05,1.6e+05,-290.12
5e+05,1.6e+05,0
5e+05,1.8e+05,-682.75
5e+05,1.8e+05,0
5e+05,2e+05,-1068.9
5e+05,2e+05,0
5e+05,2.2e+05,-1447.9
5e+05,2.2e+05,0
5e+05,2.4e+05,-1819.2
5e+05,2.4e+05,0
5e+05,2.6e+05,-2181.9
5e+05,2.6e+05,0
5e+05,2.8e+05,-2535.6
5e+05,2.8e+05,0
5e+05,3e+05,-2879.6
5e+05,3e+05,0
5e+05,3.2e+05,-3213.3
5e+05,3.2e+05,0
5e+05,3.4e+05,-3536
5e+05,3.4e+05,0
5e+05,3.6e+05,-3847.3
5e+05,3.6e+05,0
5e+05,3.8e+05,-4146.6
5e+05,3.8e+05,0
5e+05,4e+05,-4433.4
5e+05,4e+05,0
5e+05,4.2e+05,-4707.1
5e+05,4.2e+05,0
5e+05,4.4e+05,-4967.3
5e+05,4.4e+05,0
5e+05,4.6e+05,-5213.5
5e+05,4.6e+05,0
5e+05,4.8e+05,-5445.3
5e+05,4.8e+05,0
5e+05,5e+05,-5662.3
5e+05,5e+05,0
5e+05,5.2e+05,-5864.1
5e+05,5.2e+05,0
5e+05,5.4e+05,-6050.4
5e+05,5.4e+05,0
5e+05,5.6e+05,-6220.7
5e+05,5.6e+05,0
5e+05,5.8e+05,-6374.9
5e+05,5.8e+05,0
5e+05,6e+05,-6512.7
5e+05,6e+05,0
5e+05,6.2e+05,-6633.8
5e+05,6.2e+05,0
5e+05,6.4e+05,-6738
5e+05,6.4e+05,0
5e+05,6.6e+05,-6825
5e+05,6.6e+05,0
5e+05,6.8e+05,-6894.9
5e+05,6.8e+05,0
5e+05,7e+05,-6947.4
5e+05,7e+05,0
5e+05,7.2e+05,-6982.5
5e+05,7.2e+05,0
5e+05,7.4e+05,-7000
5e+05,7.4e+05,0
5e+05,7.6e+05,-7000
5e+05,7.6e+05,0
5e+05,7.8e+05,-6982.5
5e+05,7.8e+05,0
5e+05,8e+05,-6947.4
5e+05,8e+05,0
5e+05,8.2e+05,-6894.9
5e+05,8.2e+05,0
5e+05,8.4e+05,-6825
5e+05,8.4e+05,0
5e+05,8.6e+05,-6738
5e+05,8.6e+05,0
5e+05,8.8e+05,-6633.8
5e+05,8.8e+05,0
5e+05,9e+05,-6512.7
5e+05,9e+05,0
5e+05,9.2e+05,-6374.9
5e+05,9.2e+05,0
5e+05,9.4e+05,-6220.7
5e+05,9.4e+05,0
5e+05,9.6e+05,-6050.4
5e+05,9.6e+05,0
5e+05,9.8e+05,-5864.1
5e+05,9.8e+05,0
5e+05,1e+06,-5662.3
5e+05,1e+06,0
5e+05,1.02e+06,-5445.3
5e+05,1.02e+06,0
5e+05,1.04e+06,-5213.5
5e+05,1.04e+06,0
5e+05,1.06e+06,-4967.3
5e+05,1.06e+06,0
5e+05,1.08e+06,-4707.1
5e+05,1.08e+06,0
5e+05,1.1e+06,-4433.4
5e+05,1.1e+06,0
5e+05,1.12e+06,-4146.6
5e+05,1.12e+06,0
5e+05,1.14e+06,-3847.3
5e+05,1.14e+06,0
5e+05,1.16e+06,-3536
5e+05,1.16e+06,0
5e+05,1.18e+06,-3213.3
5e+05,1.18e+06,0
5e+05,1.2e+06,-2879.6
5e+05,1.2e+06,0
5e+05,1.22e+06,-2535.6
5e+05,1.22e+06,0
5e+05,1.24e+06,-2181.9
5e+05,1.24e+06,0
5e+05,1.26e+06,-1819.2
5e+05,1.26e+06,0
5e+05,1.28e+06,-1447.9
5e+05,1.28e+06,0
5e+05,1.3e+06,-1068.9
5e+05,1.3e+06,0
5e+05,1.32e+06,-682.75
5e+05,1.32e+06,0
5e+05,1.34e+06,-290.12
5e+05,1.34e+06,0
5e+05,1.36e+06,-0.1
5e+05,1.36e+06,0
5e+05,1.38e+06,-0.1
5e+05,1.38e+06,0
5e+05,1.4e+06,-0.1
5e+05,1.4e+06,0
5e+05,1.42e+06,-0.1
5e+05,1.42e+06,0
5e+05,1.44e+06,-0.1
5e+05,1.44e+06,0
5e+05,1.46e+06,-0.1
5e+05,1.46e+06,0
5e+05,1.48e+06,-0.1
5e+05,1.48e+06,0
5e+05,1.5e+06,-0.1
5e+05,1.5e+06,0
